recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.5
ma-la-chicken	7.2259221116059615	0.25
quesadillas	7.181001155917769	0.5
ramen	7.173786179631447	0.25
pain-au-chocolat	6.925506704080513	0.5
spamburger	6.934181603429918	0.0
chocolate-babka	6.899959902006374	1.0
bacon-fried-rice	6.910882813937797	0.0
nacho-fries	6.689568244144984	0.5
cranberry-sauce	6.636072837989461	0.5
asparagus-burger	6.479704217063346	0.5
strawberry-rhubarb-crisp	6.405320373669669	0.75
asparagus-quiche	6.361277794034273	0.5
apple-pie	6.322399626393316	0.5
guacamole	6.272276507314306	0.5
bacon-wrapped-asparagus	6.233747404239696	0.0
brioche-bread	6.154619135488303	1.0
cold-noodles-with-tomatoes	6.128041636930435	0.5
tamales	6.0836079721449465	0.5
mushroom-quiche	6.039403705087567	0.5
taco-salad	5.983207691101553	0.5
dan-dan-noodles	5.960900733545382	0.5
bacon-wrapped-chicken	5.8825521635049745	0.0
cranberry-apple-crisp	5.727864070568745	0.75
chicken-nuggets	5.706044919789751	0.25
croissants	5.689876432852624	0.5
fajitas	5.633666009302985	0.5
tacos	5.587699443580412	0.5
spam-musubi	5.559890394358063	0.0
chocolate-peanut-butter-cake	5.464976798642494	1.0
bacon-mac-and-cheese	5.462319359792035	0.0
berry-crisp	5.45034597013873	0.75
croissant-aux-amandes	5.385204277927016	0.5
nacho-salad	5.324264945983932	0.5
bacon-wrapped-shrimp-skewers	5.300263542890521	0.0
souffle	5.274370253303193	0.5
danishes	5.256435093037962	0.5
vanilla-souffle	5.223240954468534	0.5
sujebi	5.214989975147981	0.25
spinach-quiche	5.171079375619879	0.5
quiche-lorraine	5.084790137405384	0.5
brioche-bread-with-chocolate	5.0791790822755924	1.0
cold-soba-noodles-with-tomato-and-cucumber	5.063064090584794	0.5
nachos	5.0429515336986235	0.5
enchiladas	5.021845625716961	0.5
brownies	5.00477716114286	1.0
spinach-and-ricotta-lasagna	4.985487255019753	0.5
loaded-nachos	4.965093459573006	0.5
cherry-pie	4.935976120891152	0.5
apple-crisp	4.901388975804675	0.75
peanut-butter-cupcakes	4.900140938010424	0.5
breakfast-burritos	4.890232886994825	0.5
ma-la-beef	4.754427606691559	0.5
udon	4.713443883121987	0.5
pickled-green-beans	4.710565783291067	0.5
bolognese-sauce	4.5949092416812185	0.5
chiles-rellenos	4.593990992141271	0.5
almond-croissants	4.581955971271186	0.5
cold-sesame-noodles	4.563681700008726	0.5
bacon-egg-muffins	4.539066814107963	0.0
cranberry-relish	4.51748305944516	0.5
spinach-and-feta-quiche	4.49701134498581	0.5
tempura-udon	4.479846963594038	0.5
burritos	4.480978854207731	0.5
soba-noodle-salad-with-peanut-dressing	4.466034966680151	0.5
peach-cobbler	4.443598852562558	0.5
falafel	4.410867604698746	0.25
maple-bacon-donuts	4.410573411063055	0.0
chicken-alfredo-lasagna	4.3583526348364074	0.25
fried-oysters	4.312222316618481	0.5
chicken-fingers	4.291182011350089	0.25
almond-chip-cookies	4.283053104474097	0.75
pico-de-gallo	4.272790100608893	0.5
peach-crisp	4.2300010787409335	0.75
bacon-and-egg-breakfast-sandwich	4.210088908338504	0.0
bacon-wrapped-scallops	4.187535091658707	0.0
nacho-dip	4.167126729114633	0.5
nacho-casserole	4.1404611619289025	0.5
french-toast	4.116051334664748	0.5
chocolate-croissants	4.060229720383033	1.0
classic-beef-lasagna	4.055806895782687	0.5
chocolate-cake	3.996535390277427	1.0
pickled-asparagus	3.9144337550042603	0.5
pasta-primavera	3.890712244185618	0.25
bacon-chocolate-chip-cookies	3.8644605658336886	1.0
blueberry-crumble	3.831187104775172	0.5
maple-bacon-pancakes	3.796113426093336	0.0
peanut-butter-brownies	3.759684266279162	1.0
bacon-wrapped-dates	3.7050404316702283	0.0
lasagna	3.5264154926407723	0.5
cherry-cobbler	3.520916107868068	0.5
cinnamon-babka	3.4695469970530675	0.5
blueberry-crisp	3.3773739255813164	0.75
chocolate-souffle	3.3772063094256572	1.0
vegetarian-mushroom-lasagna	3.256845434011016	0.5
spinach-and-ricotta-stuffed-shells	3.087664158163144	0.5
berry-crumble	2.9081963575048966	0.5
butter-croissants	2.851886863840564	0.5
vegetable-lasagna	2.6561317108785745	0.5
bacon-souffle	2.604491803913044	0.0
